customerID,phoneDescription,internetDescription
4495-LHSSK,Phone service with multiple lines,DSL with online security
5655-JSMZM,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
5915-ANOEI,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv"
9861-PDSZP,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
4505-EXZHB,Phone service,Fiber optic with device protection
7225-CBZPL,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
6704-UTUKK,None,"DSL with streaming tv, streaming movies"
4587-VVTOX,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
2019-HDCZY,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
4652-NNHNY,Phone service with multiple lines,Fiber optic
8788-DOXSU,Phone service,"DSL with device protection, streaming movies"
7404-JLKQG,Phone service,"DSL with device protection, streaming tv"
7421-ZLUPA,None,DSL with online backup
8972-HJWNV,Phone service with multiple lines,Fiber optic with streaming movies
3274-NSDWE,Phone service,None
2632-IVXVF,Phone service with multiple lines,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
3692-JHONH,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
8915-NNTRC,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support, streaming tv, streaming movies"
5914-GXMDA,Phone service,None
7463-IFMQU,Phone service,None
2920-RNCEZ,Phone service,Fiber optic
2541-YGPKE,Phone service,"DSL with online security, tech support, streaming movies"
8515-OCTJS,Phone service with multiple lines,None
5382-TEMLV,Phone service,DSL with online security
3441-CGZJH,None,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
9592-ERDKV,Phone service with multiple lines,"DSL with online security, device protection, streaming tv, streaming movies"
2860-RANUS,Phone service with multiple lines,Fiber optic with streaming movies
5261-QSHQM,None,DSL
4778-IZARL,Phone service,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
0432-CAJZV,Phone service,"Fiber optic with streaming tv, streaming movies"
7008-LZVOZ,Phone service with multiple lines,None
8868-WOZGU,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
1200-TUZHR,Phone service with multiple lines,Fiber optic with streaming movies
9365-CSLBQ,Phone service with multiple lines,None
1334-FJSVR,None,DSL
5884-FBCTL,Phone service with multiple lines,None
7130-CTCUS,Phone service,"DSL with online security, online backup"
6242-FEGFD,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support"
7625-XCQRH,Phone service with multiple lines,Fiber optic
6194-HBGQN,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv"
7634-WSWDB,None,"DSL with online security, streaming movies"
6986-IXNDM,Phone service,"Fiber optic with streaming tv, streaming movies"
1731-TVIUK,Phone service with multiple lines,"Fiber optic with online backup, tech support, streaming movies"
2987-BJXIK,Phone service with multiple lines,"DSL with online security, online backup, device protection, streaming tv, streaming movies"
9769-TSBZE,Phone service with multiple lines,"DSL with online security, online backup, tech support"
0406-BPDVR,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
0618-XWMSS,Phone service,Fiber optic with online security
1395-WSWXR,Phone service,None
6023-GSSXW,Phone service,"DSL with online backup, streaming movies"
6752-APNJL,Phone service,"DSL with online security, online backup"
5276-KQWHG,Phone service,Fiber optic
0420-HLGXF,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
7446-KQISO,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
9823-EALYC,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv"
0582-AVCLN,Phone service,None
5803-NQJZO,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support"
2565-JSLRY,Phone service with multiple lines,None
2607-DHDAK,Phone service,None
1073-XXCZD,Phone service with multiple lines,None
0743-HRVFF,None,"DSL with device protection, tech support, streaming tv, streaming movies"
4006-HKYHO,Phone service,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
3727-JEZTU,Phone service,None
8143-ETQTI,Phone service,None
6689-KXGBO,Phone service,DSL with online backup
9667-TKTVZ,Phone service with multiple lines,DSL with tech support
3657-COGMW,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
8570-KLJYJ,Phone service with multiple lines,DSL with online security
7754-IXRMC,Phone service,DSL
9473-CBZOP,Phone service with multiple lines,"DSL with online security, device protection"
2969-WGHQO,Phone service,"DSL with online security, online backup, device protection, streaming tv"
6615-NGGZJ,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
4334-HOWRP,None,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
4255-DDUOU,Phone service,None
5863-OOKCL,Phone service,None
1686-STUHN,Phone service,None
1329-VHWNP,None,DSL
2984-MIIZL,Phone service,Fiber optic with device protection
0266-GMEAO,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
5590-YRFJT,None,DSL
5574-NXZIU,Phone service,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
0019-GFNTW,None,"DSL with online security, online backup, device protection, tech support"
4256-ZWTZI,Phone service,DSL with tech support
8309-PPCED,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
4098-NAUKP,Phone service with multiple lines,"Fiber optic with online backup, device protection"
5196-WPYOW,Phone service,"DSL with online security, online backup, tech support"
4608-LCIMN,Phone service,DSL
1485-YDHMM,Phone service with multiple lines,"Fiber optic with online backup, tech support, streaming movies"
4054-CUMIA,Phone service,None
0603-TPMIB,Phone service with multiple lines,None
2525-GVKQU,Phone service,None
8161-QYMTT,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
9581-GVBXT,None,"DSL with online security, device protection"
5862-BRIXZ,None,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
5404-GGUKR,Phone service,DSL with online backup
3308-JSGML,None,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
2126-GSEGL,Phone service with multiple lines,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
3677-TNKIO,Phone service,Fiber optic
0440-QEXBZ,Phone service with multiple lines,DSL
2434-EEVDB,Phone service with multiple lines,"Fiber optic with online security, device protection, streaming tv"
6762-QVYJO,None,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
6199-IWKGC,Phone service with multiple lines,"Fiber optic with tech support, streaming tv, streaming movies"
2675-DHUTR,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
8152-VETUR,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
9667-EQRXU,None,"DSL with device protection, streaming tv"
7446-YPODE,Phone service with multiple lines,"DSL with online security, online backup"
9522-BNTHX,None,"DSL with online backup, device protection, streaming tv, streaming movies"
4676-WLUHT,None,"DSL with online security, online backup, streaming movies"
3329-WDIOK,None,"DSL with online backup, streaming tv, streaming movies"
7980-MHFLQ,Phone service with multiple lines,None
2873-ZLIWT,Phone service with multiple lines,"Fiber optic with device protection, tech support"
3415-TAILE,Phone service,"DSL with streaming tv, streaming movies"
0757-WCUUZ,Phone service with multiple lines,"DSL with device protection, streaming movies"
1629-DQQVB,Phone service,DSL with online security
1915-IOFGU,Phone service,Fiber optic
3045-XETSH,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming movies"
0374-AACSZ,Phone service,DSL with online security
7239-HZZCX,Phone service,None
4872-VXRIL,Phone service with multiple lines,"DSL with online security, online backup, tech support"
9140-CZQZZ,Phone service,"DSL with online security, online backup, tech support, streaming tv, streaming movies"
3423-HHXAO,Phone service,None
9938-TKDGL,Phone service,"Fiber optic with online security, tech support, streaming tv, streaming movies"
0531-ZZJWQ,Phone service with multiple lines,Fiber optic
6537-QLGEX,None,"DSL with online security, streaming tv"
2688-BHGOG,Phone service,Fiber optic with streaming movies
7683-CBDKJ,Phone service,"DSL with online security, online backup, streaming tv"
0946-CLJTI,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
3160-TYXLT,None,"DSL with online security, online backup, streaming movies"
1325-USMEC,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv"
0916-QOFDP,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
0628-CNQRM,Phone service,"DSL with online security, device protection, tech support, streaming tv"
5606-AMZBO,Phone service with multiple lines,Fiber optic with online security
6199-IPCAO,Phone service with multiple lines,None
7665-TOALD,Phone service,Fiber optic
0112-QWPNC,Phone service with multiple lines,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
0324-BRPCJ,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
2777-PHDEI,Phone service,Fiber optic with streaming tv
5640-CAXOA,None,"DSL with tech support, streaming movies"
2235-EZAIK,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv"
3847-BAERP,Phone service,None
1196-AMORA,Phone service with multiple lines,Fiber optic
4282-YMKNA,Phone service with multiple lines,Fiber optic
1453-RZFON,Phone service,DSL with online security
8263-OKETD,Phone service with multiple lines,"DSL with online backup, tech support, streaming movies"
0670-KDOMA,Phone service,None
2476-YGEFM,Phone service with multiple lines,Fiber optic
8687-BAFGU,Phone service,Fiber optic with tech support
0641-EVBOJ,Phone service,"Fiber optic with online security, tech support"
0829-XXPLX,Phone service,"Fiber optic with online security, device protection, streaming tv"
9974-JFBHQ,Phone service,"Fiber optic with online backup, tech support, streaming tv, streaming movies"
5356-RHIPP,Phone service,None
6624-JDRDS,None,DSL with online security
0608-JDVEC,Phone service,None
9780-FKVVF,Phone service,"DSL with online security, streaming movies"
1919-RTPQD,Phone service,DSL
5214-NLTIT,Phone service with multiple lines,"Fiber optic with device protection, streaming movies"
3345-PBBFH,Phone service,DSL with online backup
5055-BRMNE,Phone service with multiple lines,"Fiber optic with online security, tech support, streaming tv, streaming movies"
9189-JWSHV,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
2190-PHBHR,Phone service with multiple lines,"Fiber optic with online security, online backup, streaming movies"
2650-GYRYL,Phone service,None
0746-JTRFU,None,DSL
5208-FVQKB,Phone service,"DSL with online security, online backup, tech support, streaming movies"
7184-LRUUR,Phone service,"DSL with online backup, device protection, streaming tv"
6627-CFOSN,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming movies"
3982-JGSFD,Phone service,None
1574-DYCWE,Phone service,None
7247-XOZPB,Phone service with multiple lines,"DSL with online security, device protection, tech support, streaming tv"
2466-FCCPT,Phone service,None
6211-WWLTF,Phone service,"Fiber optic with online security, device protection, streaming tv, streaming movies"
4826-TZEVA,Phone service,Fiber optic with online backup
6016-NXBNJ,Phone service,None
9138-EFSMO,Phone service,Fiber optic with streaming movies
0576-WNXXC,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming movies"
4632-XJMEX,Phone service,"DSL with online security, online backup, tech support"
8910-LEDAG,Phone service,Fiber optic
3452-GWUIN,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
2716-GFZOR,Phone service,"Fiber optic with online security, online backup, device protection"
3724-UCSHY,Phone service,None
8626-XHBIE,Phone service with multiple lines,None
4628-CTTLA,None,"DSL with online backup, streaming tv"
3192-LNKRK,Phone service,"Fiber optic with device protection, streaming tv"
4439-YRNVD,None,"DSL with online backup, tech support"
2876-VBBBL,Phone service,None
6834-NXDCA,None,DSL
2208-UGTGR,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
3005-TYFRD,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
8670-MEFCP,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
3079-BCHLN,Phone service,None
7777-UNYHB,Phone service,None
5597-GLBUC,Phone service,"Fiber optic with device protection, streaming tv"
7278-CKDNC,Phone service with multiple lines,Fiber optic with online backup
2748-MYRVK,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
8450-UYIBU,None,"DSL with device protection, streaming tv"
2969-VAPYH,Phone service,"DSL with online security, online backup, tech support"
4822-YCXMX,Phone service with multiple lines,Fiber optic with streaming movies
7181-OQCUT,Phone service with multiple lines,"Fiber optic with online security, device protection, streaming tv, streaming movies"
8474-UMLNT,Phone service,"DSL with online security, online backup, tech support, streaming movies"
9821-POOTN,Phone service with multiple lines,Fiber optic
3836-FZSDJ,Phone service with multiple lines,None
9142-XMYJH,Phone service,None
6559-ILWKJ,None,"DSL with online backup, streaming tv, streaming movies"
0187-QSXOE,Phone service,"Fiber optic with streaming tv, streaming movies"
7733-UDMTP,None,"DSL with online backup, device protection, streaming tv, streaming movies"
2649-HWLYB,Phone service with multiple lines,"DSL with online security, device protection, tech support, streaming movies"
5214-CHIWJ,Phone service,None
4229-CZMLL,Phone service with multiple lines,Fiber optic
6904-JLBGY,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
2465-BLLEU,Phone service,None
1685-VAYJF,Phone service,DSL
8874-EJNSR,Phone service with multiple lines,None
6917-YACBP,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection"
5049-MUBWG,Phone service,"DSL with online security, tech support, streaming tv, streaming movies"
4223-WOZCM,Phone service,DSL with device protection
0769-MURVM,None,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
9253-VIFJQ,Phone service with multiple lines,"DSL with online security, online backup, device protection"
7030-FZTFM,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
9741-YLNTD,Phone service with multiple lines,"Fiber optic with tech support, streaming movies"
5917-RYRMG,Phone service,None
5120-ZBLAI,Phone service with multiple lines,"DSL with device protection, streaming tv, streaming movies"
1194-BHJYC,None,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
3663-MITLP,Phone service,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
0906-QVPMS,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
9025-ZRPVR,Phone service,None
1905-OEILC,Phone service,None
7858-GTZSP,Phone service with multiple lines,Fiber optic with streaming movies
3285-UCQVC,None,DSL with tech support
6248-BSHKG,Phone service,None
4685-TFLLS,Phone service,None
3470-BTGQO,Phone service,DSL
1209-VFFOC,None,"DSL with online security, online backup, device protection, tech support, streaming movies"
8224-DWCKX,Phone service with multiple lines,Fiber optic
5482-PLVPE,None,DSL
4553-DVPZG,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
4902-OHLSK,Phone service with multiple lines,"Fiber optic with tech support, streaming tv, streaming movies"
6917-IAYHD,None,"DSL with online backup, tech support"
0495-ZBNGW,Phone service with multiple lines,Fiber optic with device protection
8620-RJPZN,Phone service,None
7572-KPVKK,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
2642-MAWLJ,Phone service,None
2357-COQEK,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
7103-ZGVNT,Phone service with multiple lines,"DSL with online security, online backup, tech support, streaming tv"
3737-GCSPV,Phone service with multiple lines,"Fiber optic with online security, tech support, streaming tv"
2027-WKXMW,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
7137-NAXML,Phone service,None
2428-ZMCTB,Phone service,None
2961-VNFKL,Phone service with multiple lines,None
1768-HNVGJ,Phone service with multiple lines,"DSL with online security, tech support, streaming movies"
6963-KQYQB,Phone service with multiple lines,None
5934-RMPOV,Phone service with multiple lines,Fiber optic with streaming movies
1207-BLKSA,Phone service with multiple lines,None
4088-YLDSU,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
8316-BBQAY,None,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
1166-PQLGG,Phone service,None
3146-JTQHR,Phone service,None
4291-YZODP,Phone service,None
4395-PZMSN,Phone service,"Fiber optic with online backup, streaming movies"
6427-FEFIG,Phone service with multiple lines,"DSL with online security, device protection, streaming tv, streaming movies"
0017-IUDMW,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
8706-HRADD,None,"DSL with online security, tech support, streaming tv"
9955-QOPOY,None,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
4385-ZKVNW,Phone service,"DSL with online backup, tech support"
5446-DKWYW,Phone service with multiple lines,"DSL with device protection, streaming tv"
2034-CGRHZ,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
5797-APWZC,Phone service,"Fiber optic with streaming tv, streaming movies"
3683-QKIUE,Phone service,DSL with tech support
4228-ZGYUW,Phone service with multiple lines,"Fiber optic with online backup, streaming movies"
9031-ZVQPT,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
2990-IAJSV,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
8107-KNCIM,Phone service with multiple lines,Fiber optic
9027-YFHQJ,Phone service with multiple lines,None
5176-LDKUH,Phone service,Fiber optic with online backup
4644-OBGFZ,Phone service,None
7926-IJOOU,Phone service,None
6480-YAGIY,Phone service,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
4029-HPFVY,Phone service,Fiber optic
7602-DBTOU,Phone service,None
5345-BMKWB,Phone service,None
3519-ZKXGG,Phone service with multiple lines,Fiber optic
5457-COLHT,Phone service,"DSL with online security, online backup, tech support, streaming tv, streaming movies"
6416-TVAIH,Phone service,Fiber optic
5451-YHYPW,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
5108-ADXWO,Phone service,Fiber optic with online security
7998-WNZEM,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming movies"
3066-RRJIO,Phone service,Fiber optic
4664-NJCMS,None,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
0307-BCOPK,Phone service,None
7629-WFGLW,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support"
2542-HYGIQ,Phone service,None
6715-OFDBP,Phone service,"DSL with device protection, streaming tv, streaming movies"
5016-LIPDW,Phone service,None
6481-LXPWL,None,"DSL with online backup, device protection"
1567-DSCIC,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv"
2150-UWTFY,Phone service,"DSL with online security, online backup, device protection"
6124-ACRHJ,Phone service,None
9362-MWODR,Phone service,"DSL with online security, tech support, streaming tv"
9975-GPKZU,Phone service,None
9625-RZFUK,Phone service,None
5153-LXKDT,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
5161-UBZXI,Phone service,"Fiber optic with online security, online backup, tech support, streaming tv, streaming movies"
1020-JPQOW,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support"
7919-ZODZZ,Phone service,"DSL with online backup, device protection, streaming movies"
0565-JUPYD,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv"
6867-ACCZI,None,"DSL with online security, online backup, device protection, tech support, streaming movies"
5939-XAIXZ,Phone service with multiple lines,DSL with device protection
9054-FOWNV,Phone service with multiple lines,"Fiber optic with device protection, streaming tv"
2683-BPJSO,Phone service with multiple lines,"Fiber optic with online security, online backup"
2157-MXBJS,Phone service with multiple lines,"DSL with device protection, streaming tv, streaming movies"
8207-VVMYB,Phone service with multiple lines,None
9732-EQMWY,Phone service,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
9360-AHGNL,Phone service with multiple lines,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
1087-UDSIH,Phone service,None
5269-NRGDP,Phone service,"DSL with device protection, tech support, streaming tv, streaming movies"
6195-MELTI,Phone service,"DSL with online backup, tech support"
5485-WUYWF,Phone service,"DSL with online security, device protection, streaming tv"
2121-JAFOM,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
8818-DOPVL,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
2632-UCGVD,Phone service with multiple lines,"Fiber optic with tech support, streaming tv, streaming movies"
5445-PZWGX,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support, streaming movies"
1227-UDMZR,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
5198-HQAEN,Phone service,"Fiber optic with online backup, tech support, streaming tv"
9170-CCKOU,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection"
2167-FQSTQ,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
2819-GWENI,Phone service,None
1043-YCUTE,Phone service with multiple lines,None
3814-MLAXC,Phone service with multiple lines,Fiber optic with tech support
3572-UUHRS,Phone service,None
2692-PFYTJ,Phone service with multiple lines,None
1226-UDFZR,Phone service,DSL with online backup
5955-EPOAZ,Phone service,None
6821-JPCDC,Phone service,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
8815-LMFLX,Phone service with multiple lines,None
9135-HSWOC,Phone service,None
8582-KRHPJ,None,"DSL with online security, online backup"
5811-IWXYM,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
7044-YAACC,Phone service,Fiber optic
8189-XRIKE,Phone service,"Fiber optic with streaming tv, streaming movies"
1506-YJTYT,Phone service with multiple lines,"DSL with online security, online backup, tech support, streaming tv"
4123-DVHPH,Phone service with multiple lines,"Fiber optic with online security, streaming movies"
6425-YQLLO,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
5442-UTCVD,Phone service with multiple lines,"Fiber optic with device protection, streaming movies"
2228-BZDEE,Phone service,None
7734-DBOAI,None,"DSL with tech support, streaming tv"
2789-CZANW,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support, streaming tv, streaming movies"
2091-RFFBA,Phone service with multiple lines,Fiber optic
2114-MGINA,Phone service,"Fiber optic with streaming tv, streaming movies"
7596-LDUXP,Phone service,"Fiber optic with online security, streaming tv"
3740-RLMVT,Phone service,"DSL with online security, online backup, tech support"
4489-SNOJF,Phone service with multiple lines,"DSL with online security, device protection, tech support, streaming tv"
2192-OZITF,Phone service with multiple lines,"DSL with online security, tech support, streaming movies"
5651-CPDND,Phone service,DSL
2186-QZEYA,Phone service with multiple lines,"DSL with online security, online backup"
1131-ALZWV,Phone service with multiple lines,None
7729-XBTWX,Phone service,None
9134-WYRVP,Phone service,"Fiber optic with online security, streaming tv"
3284-SVCRO,Phone service with multiple lines,None
9732-OUYRN,Phone service,None
0559-CKHUS,Phone service,None
2931-SVLTV,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support, streaming tv, streaming movies"
6899-PPEEA,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
7504-UWHNB,Phone service,Fiber optic
2582-FFFZR,None,"DSL with device protection, streaming tv, streaming movies"
8908-NMQTX,None,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
2187-LZGPL,None,"DSL with online backup, streaming movies"
1431-AIDJQ,Phone service,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
6288-LBEAR,Phone service,"Fiber optic with online backup, tech support"
4597-NUCQV,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
9019-QVLZD,Phone service,Fiber optic with streaming tv
8413-YNHNV,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
5808-TOTXO,Phone service,None
4369-NYSCF,Phone service,"DSL with online backup, tech support, streaming tv, streaming movies"
6333-YDVLT,Phone service with multiple lines,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
5324-KTGCG,Phone service,None
5599-HVLTW,Phone service with multiple lines,Fiber optic with device protection
7394-LWLYN,Phone service,Fiber optic
3707-LRWZD,Phone service with multiple lines,Fiber optic with streaming tv
6873-UDNLD,Phone service,"DSL with online security, device protection, streaming movies"
2700-LUEVA,Phone service,None
1455-ESIQH,Phone service,"Fiber optic with streaming tv, streaming movies"
0958-YHXGP,Phone service,Fiber optic
1101-SSWAG,Phone service with multiple lines,DSL
2979-SXESE,Phone service with multiple lines,"Fiber optic with online security, device protection, streaming tv"
4013-TLDHQ,Phone service,"Fiber optic with online backup, device protection"
5743-KHMNA,Phone service with multiple lines,None
4194-FJARJ,Phone service with multiple lines,"DSL with online security, tech support"
5325-UWTWJ,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support"
3969-GYXEL,Phone service,Fiber optic with online security
9208-OLGAQ,Phone service,"Fiber optic with device protection, streaming movies"
3244-CQPHU,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support, streaming tv, streaming movies"
2674-MLXMN,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
9708-HPXWZ,None,"DSL with device protection, tech support, streaming tv"
6992-TKNYO,Phone service with multiple lines,"DSL with device protection, tech support, streaming movies"
4468-YDOVK,Phone service,DSL with tech support
3754-DXMRT,Phone service,DSL
5792-JALQC,Phone service with multiple lines,"DSL with online security, device protection"
7130-VTEWQ,Phone service with multiple lines,Fiber optic
2200-DSAAL,Phone service with multiple lines,"DSL with online backup, device protection, streaming tv, streaming movies"
4302-ZYFEL,Phone service,None
9351-LZYGF,Phone service with multiple lines,"DSL with online security, online backup, tech support"
4366-CTOUZ,Phone service,"Fiber optic with online backup, tech support, streaming tv, streaming movies"
6121-VZNQB,Phone service,None
7903-CMPEY,Phone service with multiple lines,Fiber optic with online security
1518-OMDIK,Phone service,DSL
6671-NGWON,Phone service,None
0595-ITUDF,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection"
6996-KNSML,Phone service,Fiber optic with device protection
1955-IBMMB,Phone service,None
0096-BXERS,Phone service with multiple lines,DSL
3806-YAZOV,Phone service,None
7998-ZLXWN,Phone service,None
6253-WRFHY,Phone service,"DSL with streaming tv, streaming movies"
9133-AYJZG,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
2675-OTVVJ,Phone service with multiple lines,"Fiber optic with online security, streaming tv"
8680-CGLTP,Phone service,"DSL with online security, online backup, tech support"
8430-TWCBX,Phone service,None
5018-GWURO,Phone service with multiple lines,Fiber optic with streaming tv
6741-QRLUP,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming movies"
4737-HOBAX,Phone service with multiple lines,"DSL with device protection, tech support, streaming tv, streaming movies"
0537-QYZZN,Phone service with multiple lines,Fiber optic with online security
3340-QBBFM,Phone service,"DSL with device protection, tech support"
1704-NRWYE,Phone service,Fiber optic with streaming tv
2592-SEIFQ,None,DSL
8200-KLNYW,Phone service,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
3372-CDXFJ,Phone service with multiple lines,None
4781-ZXYGU,Phone service,None
7632-YUTXB,Phone service,None
2718-YSKCS,Phone service,None
9896-UYMIE,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
0853-NWIFK,Phone service,"Fiber optic with online security, online backup, streaming tv, streaming movies"
8212-CRQXP,Phone service,Fiber optic with streaming tv
6980-CDGFC,Phone service,None
7691-XVTZH,Phone service with multiple lines,"Fiber optic with device protection, streaming tv"
2520-SGTTA,Phone service,None
7481-ATQQS,Phone service with multiple lines,"Fiber optic with device protection, streaming movies"
2277-VWCNI,Phone service with multiple lines,DSL
1088-CNNKB,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming movies"
8642-GVWRF,Phone service,"Fiber optic with online backup, device protection"
1930-BZLHI,Phone service,None
3400-ESFUW,Phone service,"DSL with online security, online backup, tech support"
5868-YTYKS,Phone service,None
3525-DVKFN,Phone service,None
1482-OXZSY,Phone service with multiple lines,"Fiber optic with online security, streaming tv, streaming movies"
0377-JBKKT,Phone service,"DSL with online security, online backup, tech support"
5778-BVOFB,Phone service,"DSL with tech support, streaming tv"
3373-YZZYM,Phone service,None
