customerID,subscriptionDescription,contractDescription,TotalCharges
4632-XJMEX,Is subscribed for 53 months at a monthly cost of 62.85,One year Credit card (automatic),3419.5
8910-LEDAG,Is subscribed for 34 months at a monthly cost of 71.55,Month-to-month Credit card (automatic),2427.35
3452-GWUIN,Is subscribed for 19 months at a monthly cost of 94.95,Month-to-month Electronic check paperless billing,1760.25
2716-GFZOR,Is subscribed for 43 months at a monthly cost of 86.1,Month-to-month Credit card (automatic) paperless billing,3551.65
3724-UCSHY,Is subscribed for 6 months at a monthly cost of 19.55,Month-to-month Mailed check,122.9
8626-XHBIE,Is subscribed for 56 months at a monthly cost of 24.8,Two year Mailed check paperless billing,1424.2
4628-CTTLA,Was subscribed for 57 months at a monthly cost of 39.3,Month-to-month Electronic check paperless billing,2111.45
3192-LNKRK,Is subscribed for 34 months at a monthly cost of 84.05,Month-to-month Mailed check paperless billing,2909.95
4439-YRNVD,Is subscribed for 10 months at a monthly cost of 36.25,Month-to-month Electronic check,374
2876-VBBBL,Was subscribed for 1 months at a monthly cost of 20.25,Month-to-month Mailed check paperless billing,20.25
6834-NXDCA,Was subscribed for 13 months at a monthly cost of 23.9,Month-to-month Electronic check paperless billing,300.8
2208-UGTGR,Is subscribed for 56 months at a monthly cost of 98.6,Month-to-month Electronic check,5581.05
3005-TYFRD,Is subscribed for 55 months at a monthly cost of 103.65,Month-to-month Credit card (automatic) paperless billing,5676.65
8670-MEFCP,Is subscribed for 36 months at a monthly cost of 92.9,Two year Credit card (automatic) paperless billing,3379.25
3079-BCHLN,Is subscribed for 47 months at a monthly cost of 19.9,One year Bank transfer (automatic),942.95
7777-UNYHB,Is subscribed for 12 months at a monthly cost of 20.1,Month-to-month Credit card (automatic) paperless billing,232.4
5597-GLBUC,Was subscribed for 1 months at a monthly cost of 85.45,Month-to-month Electronic check paperless billing,85.45
7278-CKDNC,Is subscribed for 24 months at a monthly cost of 80.5,Month-to-month Electronic check paperless billing,2088.45
2748-MYRVK,Was subscribed for 63 months at a monthly cost of 99.9,One year Bank transfer (automatic),6137
8450-UYIBU,Is subscribed for 35 months at a monthly cost of 39.85,Month-to-month Electronic check paperless billing,1434.6
2969-VAPYH,Is subscribed for 67 months at a monthly cost of 60.5,One year Credit card (automatic),3870
4822-YCXMX,Was subscribed for 25 months at a monthly cost of 84.8,Month-to-month Electronic check paperless billing,2043.45
7181-OQCUT,Is subscribed for 21 months at a monthly cost of 103.85,Month-to-month Mailed check,2215
8474-UMLNT,Is subscribed for 13 months at a monthly cost of 67.8,Month-to-month Bank transfer (automatic),842.25
9821-POOTN,Was subscribed for 35 months at a monthly cost of 75.2,Month-to-month Electronic check paperless billing,2576.2
3836-FZSDJ,Is subscribed for 71 months at a monthly cost of 24.85,Two year Bank transfer (automatic),1901
9142-XMYJH,Is subscribed for 29 months at a monthly cost of 19.35,Month-to-month Credit card (automatic),601.6
6559-ILWKJ,Was subscribed for 71 months at a monthly cost of 49.35,Two year Electronic check,3515.25
0187-QSXOE,Is subscribed for 7 months at a monthly cost of 89.0,Month-to-month Electronic check paperless billing,605.45
7733-UDMTP,Is subscribed for 57 months at a monthly cost of 55.0,Month-to-month Electronic check paperless billing,3094.05
2649-HWLYB,Is subscribed for 65 months at a monthly cost of 76.15,Two year Bank transfer (automatic),4929.55
5214-CHIWJ,Is subscribed for 27 months at a monthly cost of 20.3,One year Mailed check,595.05
4229-CZMLL,Was subscribed for 6 months at a monthly cost of 74.9,Month-to-month Electronic check paperless billing,469.8
6904-JLBGY,Is subscribed for 72 months at a monthly cost of 117.35,Two year Credit card (automatic) paperless billing,8436.25
2465-BLLEU,Is subscribed for 1 months at a monthly cost of 19.75,Month-to-month Mailed check paperless billing,19.75
1685-VAYJF,Is subscribed for 11 months at a monthly cost of 45.2,Month-to-month Credit card (automatic),492
8874-EJNSR,Is subscribed for 39 months at a monthly cost of 25.2,Two year Mailed check,987.95
6917-YACBP,Is subscribed for 59 months at a monthly cost of 89.75,Month-to-month Electronic check paperless billing,5496.9
5049-MUBWG,Is subscribed for 26 months at a monthly cost of 75.0,One year Bank transfer (automatic),1908.35
4223-WOZCM,Is subscribed for 2 months at a monthly cost of 49.95,Month-to-month Mailed check,107.1
0769-MURVM,Is subscribed for 72 months at a monthly cost of 65.7,Two year Bank transfer (automatic),4575.35
9253-VIFJQ,Is subscribed for 65 months at a monthly cost of 67.05,One year Credit card (automatic),4309.55
7030-FZTFM,Is subscribed for 72 months at a monthly cost of 110.9,Two year Credit card (automatic),7922.75
9741-YLNTD,Is subscribed for 6 months at a monthly cost of 87.95,Month-to-month Bank transfer (automatic) paperless billing,522.35
5917-RYRMG,Is subscribed for 32 months at a monthly cost of 19.8,One year Credit card (automatic),587.7
5120-ZBLAI,Is subscribed for 50 months at a monthly cost of 75.7,One year Bank transfer (automatic),3876.2
1194-BHJYC,Is subscribed for 61 months at a monthly cost of 62.15,Two year Mailed check paperless billing,3778.85
3663-MITLP,Was subscribed for 15 months at a monthly cost of 101.25,Month-to-month Electronic check paperless billing,1457.25
0906-QVPMS,Is subscribed for 72 months at a monthly cost of 115.15,Two year Bank transfer (automatic),8349.45
9025-ZRPVR,Was subscribed for 9 months at a monthly cost of 18.95,Month-to-month Mailed check paperless billing,185.6
1905-OEILC,Is subscribed for 1 months at a monthly cost of 19.5,Month-to-month Mailed check,19.5
7858-GTZSP,Is subscribed for 12 months at a monthly cost of 86.55,Month-to-month Electronic check paperless billing,1066.9
3285-UCQVC,Was subscribed for 37 months at a monthly cost of 28.6,Month-to-month Credit card (automatic),973.55
6248-BSHKG,Is subscribed for 61 months at a monthly cost of 20.4,One year Mailed check,1226.45
4685-TFLLS,Is subscribed for 18 months at a monthly cost of 19.8,One year Bank transfer (automatic),342.3
3470-BTGQO,Is subscribed for 21 months at a monthly cost of 45.65,Month-to-month Mailed check,985.05
1209-VFFOC,Is subscribed for 68 months at a monthly cost of 56.4,Two year Mailed check paperless billing,3948.45
8224-DWCKX,Is subscribed for 12 months at a monthly cost of 73.3,Month-to-month Credit card (automatic) paperless billing,828.05
5482-PLVPE,Was subscribed for 2 months at a monthly cost of 24.35,Month-to-month Electronic check,41.85
4553-DVPZG,Is subscribed for 62 months at a monthly cost of 101.35,Month-to-month Electronic check paperless billing,6164.7
4902-OHLSK,Was subscribed for 29 months at a monthly cost of 98.65,Month-to-month Electronic check,2862.75
6917-IAYHD,Is subscribed for 1 months at a monthly cost of 33.6,Month-to-month Mailed check,33.6
0495-ZBNGW,Was subscribed for 5 months at a monthly cost of 79.9,Month-to-month Bank transfer (automatic) paperless billing,343.95
8620-RJPZN,Is subscribed for 1 months at a monthly cost of 20.7,Month-to-month Electronic check,20.7
7572-KPVKK,Is subscribed for 62 months at a monthly cost of 104.05,Two year Electronic check paperless billing,6590.5
2642-MAWLJ,Is subscribed for 36 months at a monthly cost of 20.25,Two year Bank transfer (automatic),717.95
2357-COQEK,Was subscribed for 28 months at a monthly cost of 103.3,Month-to-month Electronic check paperless billing,2890.65
7103-ZGVNT,Is subscribed for 69 months at a monthly cost of 73.7,One year Credit card (automatic),4885.85
3737-GCSPV,Was subscribed for 11 months at a monthly cost of 96.2,Month-to-month Credit card (automatic) paperless billing,1222.05
2027-WKXMW,Is subscribed for 63 months at a monthly cost of 108.75,Month-to-month Electronic check paperless billing,6871.7
7137-NAXML,Is subscribed for 23 months at a monthly cost of 20.15,One year Bank transfer (automatic),405.6
2428-ZMCTB,Is subscribed for 10 months at a monthly cost of 19.75,Month-to-month Credit card (automatic),208.25
2961-VNFKL,Is subscribed for 71 months at a monthly cost of 25.95,Two year Credit card (automatic) paperless billing,1801.9
1768-HNVGJ,Is subscribed for 45 months at a monthly cost of 70.05,Month-to-month Electronic check paperless billing,3062.45
6963-KQYQB,Is subscribed for 70 months at a monthly cost of 24.05,Two year Mailed check,1764.75
5934-RMPOV,Is subscribed for 22 months at a monthly cost of 84.75,Month-to-month Electronic check paperless billing,1816.75
1207-BLKSA,Is subscribed for 52 months at a monthly cost of 23.05,Two year Mailed check,1255.1
4088-YLDSU,Was subscribed for 55 months at a monthly cost of 104.15,One year Electronic check paperless billing,5743.05
8316-BBQAY,Is subscribed for 65 months at a monthly cost of 59.95,Two year Credit card (automatic),3921.1
1166-PQLGG,Is subscribed for 72 months at a monthly cost of 19.55,Two year Bank transfer (automatic),1463.45
3146-JTQHR,Is subscribed for 10 months at a monthly cost of 19.6,One year Bank transfer (automatic),189.45
4291-YZODP,Is subscribed for 7 months at a monthly cost of 20.05,One year Mailed check,96.8
4395-PZMSN,Is subscribed for 5 months at a monthly cost of 85.55,Month-to-month Electronic check paperless billing,408.5
6427-FEFIG,Is subscribed for 24 months at a monthly cost of 78.6,Two year Credit card (automatic),1846.65
0017-IUDMW,Is subscribed for 72 months at a monthly cost of 116.8,Two year Credit card (automatic) paperless billing,8456.75
8706-HRADD,Is subscribed for 21 months at a monthly cost of 43.55,Month-to-month Mailed check paperless billing,1011.5
9955-QOPOY,Is subscribed for 69 months at a monthly cost of 60.8,One year Credit card (automatic) paperless billing,4263.4
4385-ZKVNW,Is subscribed for 44 months at a monthly cost of 54.9,Month-to-month Bank transfer (automatic) paperless billing,2549.1
5446-DKWYW,Is subscribed for 61 months at a monthly cost of 65.2,One year Electronic check paperless billing,3965.05
2034-CGRHZ,Was subscribed for 24 months at a monthly cost of 102.95,Month-to-month Credit card (automatic) paperless billing,2496.7
5797-APWZC,Was subscribed for 1 months at a monthly cost of 90.6,Month-to-month Electronic check,90.6
3683-QKIUE,Was subscribed for 6 months at a monthly cost of 50.8,Month-to-month Bank transfer (automatic) paperless billing,288.05
4228-ZGYUW,Was subscribed for 4 months at a monthly cost of 90.05,Month-to-month Electronic check paperless billing,368.1
9031-ZVQPT,Is subscribed for 72 months at a monthly cost of 108.2,Two year Electronic check paperless billing,7840.6
2990-IAJSV,Is subscribed for 72 months at a monthly cost of 92.0,Two year Bank transfer (automatic),6632.75
8107-KNCIM,Is subscribed for 14 months at a monthly cost of 75.1,Month-to-month Electronic check paperless billing,1013.35
9027-YFHQJ,Is subscribed for 7 months at a monthly cost of 25.05,Month-to-month Bank transfer (automatic) paperless billing,152.95
5176-LDKUH,Is subscribed for 48 months at a monthly cost of 75.15,One year Electronic check,3772.65
4644-OBGFZ,Is subscribed for 55 months at a monthly cost of 19.5,One year Mailed check,1026.35
7926-IJOOU,Is subscribed for 1 months at a monthly cost of 19.3,Month-to-month Credit card (automatic),19.3
6480-YAGIY,Is subscribed for 45 months at a monthly cost of 112.2,One year Credit card (automatic),5031.85
4029-HPFVY,Is subscribed for 3 months at a monthly cost of 70.3,Month-to-month Mailed check paperless billing,220.4
7602-DBTOU,Is subscribed for 71 months at a monthly cost of 19.6,Two year Mailed check,1416.5
5345-BMKWB,Is subscribed for 8 months at a monthly cost of 20.25,Month-to-month Mailed check,158.35
3519-ZKXGG,Was subscribed for 3 months at a monthly cost of 75.85,Month-to-month Electronic check paperless billing,256.6
5457-COLHT,Is subscribed for 69 months at a monthly cost of 80.65,Two year Bank transfer (automatic),5542.55
6416-TVAIH,Was subscribed for 1 months at a monthly cost of 68.5,Month-to-month Electronic check paperless billing,68.5
5451-YHYPW,Is subscribed for 72 months at a monthly cost of 115.75,Two year Credit card (automatic) paperless billing,8443.7
5108-ADXWO,Was subscribed for 11 months at a monthly cost of 73.5,Month-to-month Electronic check paperless billing,791.75
7998-WNZEM,Is subscribed for 71 months at a monthly cost of 80.6,Two year Bank transfer (automatic),5708.2
3066-RRJIO,Was subscribed for 1 months at a monthly cost of 69.95,Month-to-month Mailed check paperless billing,69.95
4664-NJCMS,Is subscribed for 33 months at a monthly cost of 59.55,Two year Bank transfer (automatic),2016.3
0307-BCOPK,Is subscribed for 16 months at a monthly cost of 19.05,One year Mailed check,326.65
7629-WFGLW,Is subscribed for 56 months at a monthly cost of 95.65,One year Electronic check,5471.75
2542-HYGIQ,Is subscribed for 1 months at a monthly cost of 19.95,Month-to-month Credit card (automatic),19.95
6715-OFDBP,Was subscribed for 5 months at a monthly cost of 70.05,Month-to-month Electronic check paperless billing,346.4
5016-LIPDW,Is subscribed for 57 months at a monthly cost of 19.4,One year Mailed check,1061.6
6481-LXPWL,Is subscribed for 56 months at a monthly cost of 36.1,One year Credit card (automatic) paperless billing,1971.5
1567-DSCIC,Was subscribed for 8 months at a monthly cost of 94.0,Month-to-month Electronic check paperless billing,773.65
2150-UWTFY,Was subscribed for 22 months at a monthly cost of 61.15,Month-to-month Mailed check,1422.05
6124-ACRHJ,Is subscribed for 1 months at a monthly cost of 19.75,Month-to-month Mailed check,19.75
9362-MWODR,Is subscribed for 40 months at a monthly cost of 64.1,Month-to-month Credit card (automatic) paperless billing,2460.35
9975-GPKZU,Is subscribed for 46 months at a monthly cost of 19.75,Two year Credit card (automatic),856.5
9625-RZFUK,Is subscribed for 63 months at a monthly cost of 19.7,Two year Mailed check,1275.85
5153-LXKDT,Is subscribed for 68 months at a monthly cost of 110.2,Two year Electronic check paperless billing,7467.5
5161-UBZXI,Is subscribed for 69 months at a monthly cost of 106.35,Two year Credit card (automatic) paperless billing,7261.75
1020-JPQOW,Is subscribed for 56 months at a monthly cost of 90.55,Month-to-month Electronic check,5116.6
7919-ZODZZ,Is subscribed for 10 months at a monthly cost of 65.9,One year Mailed check paperless billing,660.05
0565-JUPYD,Is subscribed for 63 months at a monthly cost of 104.5,One year Credit card (automatic),6590.8
6867-ACCZI,Is subscribed for 24 months at a monthly cost of 52.5,Two year Mailed check paperless billing,1208.15
5939-XAIXZ,Is subscribed for 19 months at a monthly cost of 56.1,Month-to-month Mailed check paperless billing,1033.9
9054-FOWNV,Is subscribed for 22 months at a monthly cost of 88.75,Month-to-month Electronic check paperless billing,1885.15
2683-BPJSO,Was subscribed for 29 months at a monthly cost of 84.45,Month-to-month Electronic check paperless billing,2467.1
2157-MXBJS,Was subscribed for 13 months at a monthly cost of 75.3,One year Mailed check paperless billing,989.45
8207-VVMYB,Is subscribed for 70 months at a monthly cost of 26.0,Two year Bank transfer (automatic) paperless billing,2006.95
9732-EQMWY,Is subscribed for 49 months at a monthly cost of 99.4,Month-to-month Electronic check,5025
9360-AHGNL,Was subscribed for 43 months at a monthly cost of 109.55,One year Mailed check paperless billing,4830.25
1087-UDSIH,Was subscribed for 3 months at a monthly cost of 19.6,Month-to-month Mailed check paperless billing,59.75
5269-NRGDP,Is subscribed for 42 months at a monthly cost of 73.15,One year Electronic check,3088.25
6195-MELTI,Is subscribed for 57 months at a monthly cost of 54.65,One year Mailed check paperless billing,3134.7
5485-WUYWF,Was subscribed for 2 months at a monthly cost of 66.4,Month-to-month Bank transfer (automatic),94.55
2121-JAFOM,Is subscribed for 72 months at a monthly cost of 115.55,Two year Credit card (automatic) paperless billing,8312.4
8818-DOPVL,Is subscribed for 46 months at a monthly cost of 104.45,Month-to-month Electronic check paperless billing,4863.85
2632-UCGVD,Was subscribed for 66 months at a monthly cost of 100.05,Month-to-month Credit card (automatic) paperless billing,6871.9
5445-PZWGX,Was subscribed for 62 months at a monthly cost of 102.0,One year Electronic check,6529.25
1227-UDMZR,Is subscribed for 72 months at a monthly cost of 91.15,Two year Bank transfer (automatic) paperless billing,6637.9
5198-HQAEN,Is subscribed for 35 months at a monthly cost of 89.7,One year Electronic check paperless billing,3165.6
9170-CCKOU,Was subscribed for 17 months at a monthly cost of 90.2,Month-to-month Credit card (automatic),1454.15
2167-FQSTQ,Is subscribed for 72 months at a monthly cost of 92.4,Two year Electronic check paperless billing,6786.1
2819-GWENI,Is subscribed for 28 months at a monthly cost of 19.9,One year Mailed check,543
1043-YCUTE,Was subscribed for 56 months at a monthly cost of 25.15,Two year Credit card (automatic) paperless billing,1327.15
3814-MLAXC,Was subscribed for 31 months at a monthly cost of 79.85,Month-to-month Credit card (automatic) paperless billing,2404.15
3572-UUHRS,Is subscribed for 45 months at a monthly cost of 18.85,One year Bank transfer (automatic),867.3
2692-PFYTJ,Is subscribed for 1 months at a monthly cost of 25.75,Month-to-month Mailed check paperless billing,25.75
1226-UDFZR,Was subscribed for 2 months at a monthly cost of 49.6,Month-to-month Mailed check paperless billing,114.7
5955-EPOAZ,Is subscribed for 6 months at a monthly cost of 20.95,Month-to-month Mailed check paperless billing,109.5
6821-JPCDC,Is subscribed for 48 months at a monthly cost of 97.05,One year Electronic check paperless billing,4692.95
8815-LMFLX,Is subscribed for 25 months at a monthly cost of 25.4,Month-to-month Bank transfer (automatic) paperless billing,546.85
9135-HSWOC,Is subscribed for 64 months at a monthly cost of 19.7,Two year Bank transfer (automatic) paperless billing,1274.05
8582-KRHPJ,Is subscribed for 50 months at a monthly cost of 35.0,Month-to-month Mailed check paperless billing,1782.4
5811-IWXYM,Is subscribed for 52 months at a monthly cost of 101.25,One year Bank transfer (automatic),5301.1
7044-YAACC,Is subscribed for 4 months at a monthly cost of 70.2,Month-to-month Electronic check paperless billing,280.35
8189-XRIKE,Is subscribed for 32 months at a monthly cost of 90.95,Month-to-month Electronic check,2897.95
1506-YJTYT,Is subscribed for 45 months at a monthly cost of 73.85,Two year Credit card (automatic),3371
4123-DVHPH,Is subscribed for 9 months at a monthly cost of 88.05,Month-to-month Electronic check paperless billing,801.3
6425-YQLLO,Was subscribed for 66 months at a monthly cost of 105.95,One year Credit card (automatic) paperless billing,6975.25
5442-UTCVD,Was subscribed for 3 months at a monthly cost of 91.85,Month-to-month Electronic check,257.05
2228-BZDEE,Is subscribed for 54 months at a monthly cost of 20.1,Two year Mailed check,1079.45
7734-DBOAI,Was subscribed for 1 months at a monthly cost of 40.1,Month-to-month Electronic check,40.1
2789-CZANW,Is subscribed for 64 months at a monthly cost of 110.3,Two year Bank transfer (automatic),6997.3
2091-RFFBA,Was subscribed for 31 months at a monthly cost of 73.9,Month-to-month Electronic check paperless billing,2217.15
2114-MGINA,Was subscribed for 14 months at a monthly cost of 89.8,Month-to-month Mailed check paperless billing,1129.1
7596-LDUXP,Is subscribed for 12 months at a monthly cost of 85.15,One year Credit card (automatic) paperless billing,979.05
3740-RLMVT,Is subscribed for 67 months at a monthly cost of 60.95,One year Bank transfer (automatic) paperless billing,4119.4
4489-SNOJF,Was subscribed for 35 months at a monthly cost of 72.25,Month-to-month Electronic check,2568.55
2192-OZITF,Is subscribed for 45 months at a monthly cost of 73.55,Two year Mailed check,3349.1
5651-CPDND,Is subscribed for 10 months at a monthly cost of 46.0,Month-to-month Mailed check,492.1
2186-QZEYA,Is subscribed for 29 months at a monthly cost of 58.55,Month-to-month Bank transfer (automatic) paperless billing,1718.95
1131-ALZWV,Is subscribed for 24 months at a monthly cost of 24.6,One year Bank transfer (automatic),605.25
7729-XBTWX,Is subscribed for 66 months at a monthly cost of 19.75,Two year Mailed check paperless billing,1344.5
9134-WYRVP,Is subscribed for 51 months at a monthly cost of 86.35,One year Mailed check,4267.15
3284-SVCRO,Is subscribed for 45 months at a monthly cost of 25.5,Two year Mailed check,1121.05
9732-OUYRN,Is subscribed for 49 months at a monthly cost of 19.0,One year Credit card (automatic),918.7
0559-CKHUS,Is subscribed for 29 months at a monthly cost of 19.55,Two year Mailed check paperless billing,521.8
2931-SVLTV,Is subscribed for 40 months at a monthly cost of 110.1,Month-to-month Credit card (automatic) paperless billing,4469.1
6899-PPEEA,Was subscribed for 37 months at a monthly cost of 96.55,Month-to-month Electronic check paperless billing,3580.3
7504-UWHNB,Is subscribed for 25 months at a monthly cost of 69.75,Month-to-month Electronic check,1729.35
2582-FFFZR,Is subscribed for 22 months at a monthly cost of 50.6,Month-to-month Electronic check paperless billing,1073.3
8908-NMQTX,Is subscribed for 72 months at a monthly cost of 65.6,Two year Bank transfer (automatic) paperless billing,4566.5
2187-LZGPL,Was subscribed for 7 months at a monthly cost of 40.1,Month-to-month Credit card (automatic) paperless billing,293.3
1431-AIDJQ,Is subscribed for 33 months at a monthly cost of 82.1,Two year Credit card (automatic),2603.1
6288-LBEAR,Is subscribed for 23 months at a monthly cost of 79.1,Month-to-month Mailed check paperless billing,1783.75
4597-NUCQV,Was subscribed for 24 months at a monthly cost of 101.25,Month-to-month Electronic check paperless billing,2440.15
9019-QVLZD,Was subscribed for 1 months at a monthly cost of 79.55,Month-to-month Electronic check,79.55
8413-YNHNV,Is subscribed for 69 months at a monthly cost of 90.65,Two year Mailed check,6322.1
5808-TOTXO,Is subscribed for 3 months at a monthly cost of 20.55,One year Credit card (automatic) paperless billing,57.4
4369-NYSCF,Is subscribed for 56 months at a monthly cost of 75.75,One year Bank transfer (automatic) paperless billing,4284.65
6333-YDVLT,Is subscribed for 65 months at a monthly cost of 110.0,One year Credit card (automatic) paperless billing,7138.65
5324-KTGCG,Is subscribed for 71 months at a monthly cost of 20.85,One year Electronic check,1539.75
5599-HVLTW,Is subscribed for 14 months at a monthly cost of 80.35,Month-to-month Bank transfer (automatic) paperless billing,1058.1
7394-LWLYN,Is subscribed for 2 months at a monthly cost of 70.15,Month-to-month Electronic check paperless billing,123.8
3707-LRWZD,Was subscribed for 32 months at a monthly cost of 84.05,One year Electronic check,2781.85
6873-UDNLD,Is subscribed for 40 months at a monthly cost of 67.45,Month-to-month Electronic check,2731
2700-LUEVA,Is subscribed for 1 months at a monthly cost of 20.75,Month-to-month Credit card (automatic),20.75
1455-ESIQH,Was subscribed for 1 months at a monthly cost of 89.1,Month-to-month Electronic check paperless billing,89.1
0958-YHXGP,Is subscribed for 7 months at a monthly cost of 69.9,Month-to-month Mailed check paperless billing,497.3
1101-SSWAG,Is subscribed for 15 months at a monthly cost of 51.1,Month-to-month Electronic check paperless billing,711.15
2979-SXESE,Was subscribed for 17 months at a monthly cost of 94.4,Month-to-month Electronic check,1607.2
4013-TLDHQ,Was subscribed for 19 months at a monthly cost of 78.25,Month-to-month Electronic check paperless billing,1490.95
5743-KHMNA,Is subscribed for 71 months at a monthly cost of 25.55,Two year Bank transfer (automatic),1898.1
4194-FJARJ,Is subscribed for 54 months at a monthly cost of 60.0,Two year Bank transfer (automatic),3273.95
5325-UWTWJ,Is subscribed for 31 months at a monthly cost of 90.55,Month-to-month Credit card (automatic) paperless billing,2929.75
3969-GYXEL,Is subscribed for 11 months at a monthly cost of 76.4,Month-to-month Electronic check,838.7
9208-OLGAQ,Is subscribed for 18 months at a monthly cost of 84.95,Month-to-month Electronic check paperless billing,1443.65
3244-CQPHU,Is subscribed for 72 months at a monthly cost of 110.1,Two year Bank transfer (automatic) paperless billing,7746.7
2674-MLXMN,Is subscribed for 71 months at a monthly cost of 99.65,Month-to-month Credit card (automatic) paperless billing,6951.15
9708-HPXWZ,Is subscribed for 5 months at a monthly cost of 45.4,Month-to-month Credit card (automatic),214.75
6992-TKNYO,Is subscribed for 38 months at a monthly cost of 69.0,One year Credit card (automatic),2669.45
4468-YDOVK,Is subscribed for 5 months at a monthly cost of 48.65,Month-to-month Bank transfer (automatic) paperless billing,235.2
3754-DXMRT,Was subscribed for 2 months at a monthly cost of 44.15,Month-to-month Electronic check paperless billing,92.65
5792-JALQC,Is subscribed for 52 months at a monthly cost of 59.85,Two year Bank transfer (automatic),3103.25
7130-VTEWQ,Was subscribed for 8 months at a monthly cost of 75.75,Month-to-month Electronic check paperless billing,606.25
2200-DSAAL,Is subscribed for 68 months at a monthly cost of 80.65,Two year Electronic check paperless billing,5330.2
4302-ZYFEL,Is subscribed for 69 months at a monthly cost of 20.55,One year Credit card (automatic) paperless billing,1403.1
9351-LZYGF,Is subscribed for 42 months at a monthly cost of 66.4,Month-to-month Credit card (automatic) paperless billing,2727.8
4366-CTOUZ,Is subscribed for 50 months at a monthly cost of 100.2,Two year Mailed check paperless billing,5038.45
6121-VZNQB,Was subscribed for 1 months at a monthly cost of 19.1,Month-to-month Mailed check paperless billing,19.1
7903-CMPEY,Was subscribed for 1 months at a monthly cost of 80.3,Month-to-month Electronic check paperless billing,80.3
1518-OMDIK,Is subscribed for 33 months at a monthly cost of 44.55,Month-to-month Credit card (automatic) paperless billing,1462.6
6671-NGWON,Is subscribed for 7 months at a monthly cost of 20.35,Month-to-month Mailed check,150.6
0595-ITUDF,Is subscribed for 64 months at a monthly cost of 91.8,Month-to-month Electronic check paperless billing,5960.5
6996-KNSML,Was subscribed for 1 months at a monthly cost of 74.9,Month-to-month Electronic check paperless billing,74.9
1955-IBMMB,Is subscribed for 59 months at a monthly cost of 20.2,Two year Bank transfer (automatic) paperless billing,1192.3
0096-BXERS,Is subscribed for 6 months at a monthly cost of 50.35,Month-to-month Electronic check,314.55
3806-YAZOV,Is subscribed for 3 months at a monthly cost of 18.8,Month-to-month Mailed check,56
7998-ZLXWN,Is subscribed for 15 months at a monthly cost of 20.45,Month-to-month Credit card (automatic),330.8
6253-WRFHY,Is subscribed for 13 months at a monthly cost of 64.75,One year Electronic check paperless billing,877.35
9133-AYJZG,Is subscribed for 23 months at a monthly cost of 98.7,Month-to-month Credit card (automatic) paperless billing,2249.1
2675-OTVVJ,Is subscribed for 31 months at a monthly cost of 89.45,Month-to-month Electronic check,2807.65
8680-CGLTP,Is subscribed for 29 months at a monthly cost of 58.75,One year Electronic check paperless billing,1696.2
8430-TWCBX,Is subscribed for 49 months at a monthly cost of 20.7,One year Credit card (automatic),1032.05
5018-GWURO,Is subscribed for 56 months at a monthly cost of 85.6,Month-to-month Bank transfer (automatic) paperless billing,4902.8
6741-QRLUP,Is subscribed for 63 months at a monthly cost of 80.3,Two year Credit card (automatic) paperless billing,4995.35
4737-HOBAX,Is subscribed for 63 months at a monthly cost of 79.8,Two year Credit card (automatic),5034.05
0537-QYZZN,Is subscribed for 24 months at a monthly cost of 79.85,Month-to-month Electronic check paperless billing,1857.75
3340-QBBFM,Is subscribed for 36 months at a monthly cost of 54.1,One year Credit card (automatic),1992.85
1704-NRWYE,Was subscribed for 9 months at a monthly cost of 80.85,Month-to-month Electronic check paperless billing,751.65
2592-SEIFQ,Was subscribed for 3 months at a monthly cost of 24.75,Month-to-month Electronic check,66.95
8200-KLNYW,Is subscribed for 21 months at a monthly cost of 80.9,One year Mailed check,1714.95
3372-CDXFJ,Is subscribed for 13 months at a monthly cost of 24.5,One year Bank transfer (automatic),343.6
4781-ZXYGU,Is subscribed for 1 months at a monthly cost of 20.15,Month-to-month Bank transfer (automatic) paperless billing,20.15
7632-YUTXB,Is subscribed for 25 months at a monthly cost of 20.05,One year Mailed check,520.1
2718-YSKCS,Is subscribed for 71 months at a monthly cost of 19.6,Two year Bank transfer (automatic) paperless billing,1387.45
9896-UYMIE,Is subscribed for 66 months at a monthly cost of 114.3,One year Bank transfer (automatic) paperless billing,7383.7
0853-NWIFK,Is subscribed for 45 months at a monthly cost of 100.3,One year Electronic check paperless billing,4483.95
8212-CRQXP,Is subscribed for 22 months at a monthly cost of 80.0,Month-to-month Credit card (automatic) paperless billing,1706.45
6980-CDGFC,Is subscribed for 67 months at a monthly cost of 20.85,One year Bank transfer (automatic) paperless billing,1327.4
7691-XVTZH,Is subscribed for 68 months at a monthly cost of 89.95,Two year Bank transfer (automatic) paperless billing,5974.3
2520-SGTTA,Is subscribed for 0 months at a monthly cost of 20.0,Two year Mailed check, 
7481-ATQQS,Was subscribed for 49 months at a monthly cost of 90.85,Month-to-month Credit card (automatic) paperless billing,4515.85
2277-VWCNI,Is subscribed for 4 months at a monthly cost of 48.75,Month-to-month Mailed check,179.85
1088-CNNKB,Is subscribed for 63 months at a monthly cost of 80.0,One year Credit card (automatic),5040.2
8642-GVWRF,Was subscribed for 2 months at a monthly cost of 79.7,Month-to-month Bank transfer (automatic),165
1930-BZLHI,Is subscribed for 21 months at a monthly cost of 20.35,One year Mailed check paperless billing,422.7
3400-ESFUW,Was subscribed for 55 months at a monthly cost of 57.55,Two year Bank transfer (automatic),3046.4
